總機構代號,機構代號,機構名稱,地址,電話,負責人,異動日期,金融機構網址,公告日期
004,,臺灣銀行股份有限公司,台北市中正區重慶南路一段120號,02-23493456,,20230728,http://www.bot.com.tw,20240327
004,0040037,臺灣銀行營業部,台北市中正區重慶南路一段120號,02-23493456,汪威信,20230908,,20240327
004,0040059,臺灣銀行公庫部,台北市中正區貴陽街一段120號,02-23494123,陳淑貞,20180726,,20240327
004,0040071,臺灣銀行館前分行,台北市中正區館前路49號1、2樓,02-23812949,洪財源,20111230,,20240327
004,0040082,臺灣銀行信託部,台北市中正區武昌街一段49號,02-23493456,張梅君,20201105,,20240327
004,0040093,臺灣銀行臺南分行,台南市中西區府前路一段155號一樓及部分二樓,06-2160168,劉逸群,20111230,,20240327
004,0040107,臺灣銀行臺中分行,台中市西區自由路一段140號一至六樓及地下一樓,04-22224001,陳列英,20111230,,20240327
004,0040118,臺灣銀行高雄分行,高雄市前金區中正四路264號一至三樓及地下一樓,07-2515131,蘇信忠,20111230,,20240327
004,0040129,臺灣銀行基隆分行,基隆市中正區義一路16號一、二樓及部分三樓,02-24247113,張朝閎,20120109,,20240327
004,0040130,臺灣銀行中興新村分行,南投縣南投市中興新村光華路11號一、二樓,049-2332101,賴樹旺,20120110,,20240327
004,0040141,臺灣銀行嘉義分行,嘉義市西區中山路306號一至四樓及地下一樓,05-2224471,王翠琴,20230629,,20240327
004,0040152,臺灣銀行新竹分行,新竹市林森路29號一至三樓及地下一樓,03-5266161,彭上銘,20120110,,20240327
004,0040163,臺灣銀行彰化分行,彰化縣彰化市成功路130號一至四樓及地下一樓,04-7225191,陳絮美,20120110,,20240327
004,0040174,臺灣銀行屏東分行,屏東縣屏東市中山路43號一、二樓及地下一樓,08-7328141,鄭文益,20120110,,20240327
004,0040185,臺灣銀行花蓮分行,花蓮縣花蓮市公園路3號一至三樓及部分地下一樓,03-8322151,蔡寶琴,20120110,,20240327
004,0040196,臺灣銀行延平分行,台北市大同區南京西路406號一至三及十樓,02-25522859,林麗蘭,20111230,,20240327
004,0040200,臺灣銀行中山分行,台北市中山區中山北路一段150號一至三樓,02-25423434,吳燈燃,20111230,,20240327
004,0040211,臺灣銀行高雄加工出口區分行,高雄市前鎮區中一路1號一、二樓及地下一樓,07-8215141,王彩霞,20210519,,20240327
004,0040222,臺灣銀行宜蘭分行,宜蘭縣宜蘭市舊城南路50號,03-9355121,孫淑美,20120109,,20240327
004,0040233,臺灣銀行臺東分行,臺東縣臺東市中華路1段373號,089-324201,王碧玉,20180412,,20240327
004,0040244,臺灣銀行澎湖分行,澎湖縣馬公市仁愛路24號一至四樓及地下一樓,06-9279935,紀梅雪,20120110,,20240327
004,0040255,臺灣銀行鳳山分行,高雄市鳳山區曹公路20號1-3樓,07-7416131,黃麗美,20120109,,20240327
004,0040266,臺灣銀行桃園分行,桃園市桃園區中正路46號一至四樓及地下一樓,03-3352801,王櫻芳,20230704,,20240327
004,0040277,臺灣銀行板橋分行,新北市板橋區府中路21號一至五樓及地下一樓,02-29680172,房秀岱,20220715,,20240327
004,0040288,臺灣銀行新營分行,台南市新營區中正路10號一至三樓,06-6351111,許金生,20111230,,20240327
004,0040299,臺灣銀行苗栗分行,苗栗縣苗栗市中正路510號一至四樓及地下一樓,037-326791,徐美惠,20120110,,20240327
004,0040303,臺灣銀行豐原分行,台中市豐原區中正路302號一、二樓,04-25278686,蔡佳錡,20120109,,20240327
004,0040314,臺灣銀行斗六分行,雲林縣斗六市文化路27號一、二樓,05-5324155,陳永興,20120110,,20240327
004,0040325,臺灣銀行南投分行,南投縣南投市復興路101號一至三樓,049-2232121,周麗珠,20120110,,20240327
004,0040336,臺灣銀行南門分行,台北市中正區南昌路一段120號一至三樓、部分四樓及地下一樓,02-23512121,王麗娟,20120109,,20240327
004,0040347,臺灣銀行公館分行,台北市中正區羅斯福路四段120號一至四樓,02-23672581,李樹森,20120109,,20240327
004,0040358,臺灣銀行左營分行,高雄市左營區左營大路19號一、二樓及地下一樓,07-5819141,陳若龍,20120109,,20240327
004,0040369,臺灣銀行北投分行,台北市北投區中央南路一段152號一至三樓,02-28951200,邱志銘,20120109,,20240327
004,0040370,臺灣銀行霧峰分行,台中市霧峰區中正路838號一至三樓及地下一樓,04-23302216,許淑嬌,20120109,,20240327
004,0040381,臺灣銀行金門分行,金門縣金湖鎮復興路4號一、二樓及地下一樓,082-333711,吳勇達,20120110,,20240327
004,0040392,臺灣銀行馬祖分行,連江縣南竿鄉介壽村258號1、2樓及地下1樓,0836-26046,秦旭風,20210412,,20240327
004,0040406,臺灣銀行安平分行,台南市中西區中正路240號一至四樓,06-2292181,蔡旭芳,20120109,,20240327
004,0040417,臺灣銀行中壢分行,桃園市中壢區延平路580號一至四樓及部分地下一樓,03-4252160,賴碧珠,20230704,,20240327
004,0040428,臺灣銀行三重分行,新北市三重區重新路四段39號一至三樓及部分地下一樓,02-29719621,陳怡平,20120109,,20240327
004,0040439,臺灣銀行頭份分行,苗栗縣頭份鎮中正路六十五號一、二、三樓,037-663451,吳寬志,20120110,,20240327
004,0040440,臺灣銀行前鎮分行,高雄市前鎮區擴建路1-3號一、二樓及地下一樓,07-8115171,許秋吟,20120109,,20240327
004,0040451,臺灣銀行城中分行,台北市中正區青島東路47號一、二樓、部分三樓及地下一樓,02-23218934,諶禮仁,20230714,,20240327
004,0040462,臺灣銀行民權分行,台北市大同區承德路二段239號1至3樓,02-25530121,蘇淑琳,20120109,,20240327
004,0040473,臺灣銀行潭子分行,台中市潭子區建國路1號一樓及地下一樓,04-25323133,何明原,20120109,,20240327
004,0040484,臺灣銀行連城分行,新北市中和區建一路186號一、二樓,02-82272611,呂怡瑩,20130315,,20240327
004,0040495,臺灣銀行員林分行,彰化縣員林鎮民生路63號一至四樓及地下一樓,04-8323191,王世元,20120110,,20240327
004,0040509,臺灣銀行松江分行,台北市中山區松江路115號一至三樓及地下一樓,02-25069421,李仁明,20120109,,20240327
004,0040510,臺灣銀行鼓山分行,高雄市鼓山區臨海一路23號一、二樓及地下一樓,07-5218291,孫樂琴,20120109,,20240327
004,0040521,臺灣銀行龍山分行,台北市萬華區康定路380號1至6樓及地下一樓,02-23088111,范振政,20120109,,20240327
004,0040532,臺灣銀行忠孝分行,台北市大安區敦化南路一段202號一、二樓及三樓309室,02-27516091,王淑芳,20120109,,20240327
004,0040543,臺灣銀行信義分行,台北市大安區信義路二段88號一至三樓及地下一樓,02-23515486,金培芳,20120109,,20240327
004,0040554,臺灣銀行復興分行,台中市東區復興路四段102號一至三樓,04-22244181,陳淑鳳,20120109,,20240327
004,0040565,臺灣銀行三民分行,高雄市三民區九如二路567號一至三樓,07-3127143,葉珍芬,20120109,,20240327
004,0040576,臺灣銀行臺中港分行,台中市梧棲區四維路2號一、二、三、十樓及地下室一、二層,04-26562311,劉慶桐,20120109,,20240327
004,0040587,臺灣銀行羅東分行,宜蘭縣羅東鎮林森路68號、70號1樓、2樓,03-9576866,劉永基,20221208,,20240327
004,0040598,臺灣銀行埔里分行,南投縣埔里鎮東榮路112號,049-2983991,施鴻全,20120110,,20240327
004,0040602,臺灣銀行岡山分行,高雄市岡山區壽天路16號一至四樓及地下一樓,07-6216141,陳雪娥,20120109,,20240327
004,0040613,臺灣銀行新興分行,高雄市新興區民族二路133號一至三樓及地下一樓,07-2384611,鄭麗珍,20111230,,20240327
004,0040624,臺灣銀行苓雅分行,高雄市苓雅區青年一路261號一至三樓及地下一樓,07-3358700,顏忠誠,20120109,,20240327
004,0040646,臺灣銀行松山分行,台北市信義區忠孝東路四段560號一樓及部分地下一樓,02-27293111,陳雪玉,20111230,,20240327
004,0040657,臺灣銀行健行分行,台中市中區臺灣大道一段276號一、二樓,04-22242141,羅偉功,20230629,,20240327
004,0040668,臺灣銀行中和分行,新北市中和區中山路二段253號一至三樓及部分地下一樓,02-22488980,許淑惠,20120109,,20240327
004,0040679,臺灣銀行太保分行,嘉義縣太保市祥和新村祥和一路東段2號,05-3620016,魯慧菁,20120110,,20240327
004,0040680,臺灣銀行竹北分行,新竹縣竹北市光明六路16號一至三樓及地下一樓,03-5513111,葉瀞駖,20111230,,20240327
004,0040691,臺灣銀行國際金融業務分行,台北市中正區武昌街1段49號前棟3樓,02-23493456,孫世嘉,20160127,,20240327
004,0040705,臺灣銀行士林分行,台北市士林區中山北路六段197號1-3樓及地下1樓,02-28367080,鍾春娜,20120109,,20240327
004,0040716,臺灣銀行新莊分行,新北市新莊區新泰路85號一、二樓,02-22056699,陳曾椿,20120109,,20240327
004,0040727,臺灣銀行大甲分行,台中市大甲區民生路61號一至三樓,04-26868111,黃瓊瑰,20120109,,20240327
004,0040738,臺灣銀行新竹科學園區分行,新竹市新竹科學園區工業東六路5號2樓,03-5770050,章麗婉,20210324,,20240327
004,0040749,臺灣銀行樹林分行,新北市樹林區文化街廿七號二樓及廿九號一、二樓,02-26866511,劉秀美,20111230,,20240327
004,0040750,臺灣銀行新店分行,新北市新店區寶中路45號一、二樓,02-29180795,林麗芬,20120109,,20240327
004,0040794,臺灣銀行黎明分行,台中市南屯區大業路607號一至三樓及地下一樓,04-22551178,湯惠婷,20120109,,20240327
004,0040808,臺灣銀行民生分行,台北市松山區復興北路167號一、二樓,02-27192081,沈淑貞,20111230,,20240327
004,0040819,臺灣銀行永康分行,台南市永康區小東路513號一、二樓,06-3125411,劉永泰,20120109,,20240327
004,0040820,臺灣銀行三多分行,高雄市苓雅區新光路142號一至三樓,07-3349341,孫麗櫻,20120109,,20240327
004,0040831,臺灣銀行紐約分行,100 Wall Street， 11th Floor， New York NY 10005 USA,1-212-968-8128,孫嶠聖,20210122,,20240327
004,0040853,臺灣銀行臺北世貿中心分行,台北市信義區基隆路一段333號3樓,02-27200315,黃玠儒,20120109,,20240327
004,0040864,臺灣銀行大安分行,台北市大安區敦化南路2段69號1樓及65號7樓,02-27553121,洪綜信,20111230,,20240327
004,0040875,臺灣銀行華江分行,新北市板橋區中山路一段293-2號一至三樓,02-29610101,黃朝貴,20120109,,20240327
004,0040886,臺灣銀行潮州分行,屏東縣潮州鎮新生路13-2號一至六樓及地下一樓,08-7883384,洪素愛,20120110,,20240327
004,0040897,臺灣銀行蘇澳分行,宜蘭縣蘇澳鎮中山路1段97號一、二樓,03-9962566,蔡梓榦,20120109,,20240327
004,0040901,臺灣銀行大雅分行,台中市大雅區中清路三段1080號1至5樓及地下1樓,04-25683330,林妙姿,20140512,,20240327
004,0040912,臺灣銀行楠梓分行,高雄市楠梓區楠梓路201號一至三樓,07-3532115,陳月英,20111230,,20240327
004,0040923,臺灣銀行臺中工業區分行,台中市西屯區工業區一路196號一至三樓及地下一樓,04-23597850,江晴惠,20120109,,20240327
004,0040945,臺灣銀行洛杉磯分行,601 S. FIGUEROA ST.， SUITE 4525  L A，  CA90017 USA,1-213-629-6600,金元虎,20181025,,20240327
004,0041067,臺灣銀行敦化分行,台北市松山區敦化北路205號1樓,02-25455111,李美伶,20120109,,20240327
004,0041078,臺灣銀行南港分行,台北市南港區南港路二段95號1樓,02-26516706,陳材燦,20111230,,20240327
004,0041089,臺灣銀行和平分行,台北市大安區和平東路一段180號一至三樓,02-23687027,邱翠芬,20120109,,20240327
004,0041090,臺灣銀行水湳分行,台中市北屯區崇德路二段416號一、二樓,04-22468130,李麗容,20120109,,20240327
004,0041104,臺灣銀行中崙分行,台北市松山區南京東路五段184號一樓、188號2樓之8、188號2樓之9,02-27698618,江曉綺,20141224,,20240327
004,0041115,臺灣銀行土城分行,新北市土城區中央路二段338、340號一樓及342、344號一至三樓,02-22703791,李政憲,20120109,,20240327
004,0041148,臺灣銀行香港分行,香港中環皇后大道中28號中匯大廈23樓,852-2521-0567,盧阿柑,20211022,,20240327
004,0041159,臺灣銀行桃園國際機場分行,桃園市大園區埔心村航站南路15號一至三樓及地下一樓,03-3982166,何詩雄,20230704,,20240327
004,0041160,臺灣銀行大昌分行,高雄市三民區九如一路五四○號一、二樓及地下一樓,07-3891036,劉燕勳,20120109,,20240327
004,0041171,臺灣銀行東京分行,7TH FL. FUKOKU SEIMEI BL， 2-2 UCHISAIWAICHO 2-CHOME CHIYODA-KU，TOKYO 100-0011， JAPAN,81-3-3504-8881,簡建龍,20231020,,20240327
004,0041182,臺灣銀行五甲分行,高雄市鳳山區五甲二路168號一至三樓,07-7170730,謝玉堂,20120109,,20240327
004,0041193,臺灣銀行博愛分行,高雄市左營區裕誠路394號一、二樓,07-5567690,楊俊城,20111230,,20240327
004,0041207,臺灣銀行中庄分行,高雄市大寮區鳳屏一路339號一至三樓,07-7038838,楊淑茹,20120109,,20240327
004,0041218,臺灣銀行平鎮分行,桃園市平鎮區環南路二段11號一至三樓及地下一樓,03-4945688,李美容,20230704,,20240327
004,0041229,臺灣銀行仁愛分行,台北市中正區仁愛路二段99號一、二樓,02-23975936,莊瓊玲,20120109,,20240327
004,0041230,臺灣銀行南崁分行,桃園市蘆竹區南崁路一段81號一樓、85號一樓、83號二樓之一及二樓之二,03-3529191,方太源,20230704,,20240327
004,0041241,臺灣銀行圓山分行,台北市中山區林森北路577號一至四樓,02-25976699,林于舜,20120109,,20240327
004,0041355,臺灣銀行五股分行,新北市五股區中興路四段42號一至三樓,02-22936699,江芬蘭,20120109,,20240327
004,0041366,臺灣銀行大里分行,台中市大里區國光路二段481號一、二、三樓及地下一、二樓,04-24180211,陳倩瑜,20120109,,20240327
004,0041377,臺灣銀行安南分行,台南市安南區安和路二段298號1-3樓,06-3555111,吳惠珠,20111230,,20240327
004,0041388,臺灣銀行新加坡分行,80 Raffles Place #28-20 UOB Plaza 2， Singapore 048624,65-6536-5536,葉惠玲,20200116,,20240327
004,0041414,臺灣銀行西屯分行,台中市西屯區青海路二段41號一至三樓及地下一樓,04-23128528,吳碧芬,20120109,,20240327
004,0041425,臺灣銀行天母分行,台北市士林區中山北路七段18號一、二樓及部分地下一樓,02-28755222,洪秀雲,20120109,,20240327
004,0041436,臺灣銀行鹿港分行,彰化縣鹿港鎮鹿工路2號一樓,04-7810168,蕭再延,20120110,,20240327
